date,asset,open,high,low,close,volume,turnover,trailing-high,trailing-ago,prct-decline,trailing-max-decline,idx,trailing-high-idx,date-instant,trailing-high-date,setup,signal,initial,px0,px5,px10,px20,px40,category,pl
2018-08-03 00:00:00+00:00,ALL,97.53,98.07,96.8,98.05,728594,7.14386417E7,98.2,299,-0.014256619144602856,-0.08136456211812637,66,0,2018-08-03T00:00Z,2018-05-01T00:00Z,true,true,true,98.4,98.63,100.02,100.57,98.53,Stock,0.001611788617886134
2018-07-20 00:00:00+00:00,ALLY PRA,26.46,26.62,26.46,26.6,91041,2421690.6,26.63,299,-0.006383777694329629,-0.038678182500938685,56,0,2018-07-20T00:00Z,2018-05-01T00:00Z,true,true,true,26.61,26.455,26.66,26.43,26.11,,-0.018789928598271333
2020-02-05 00:00:00+00:00,ALLY PRA,26.7,26.76,26.68,26.76,25389,679409.64,26.76,210,-0.002989536621823663,-0.0729438034983253,444,234,2020-02-05T00:00Z,2019-04-05T00:00Z,true,true,true,26.81,26.7,26.33,25.81,19.24,,-0.056553524804177635
2024-11-05 00:00:00+00:00,AME,179.76,182.32,179.6,182.02,357863,6.5138223260000005E7,186.29,158,-0.03591175049653761,-0.19780986633743092,1640,1482,2024-11-05T00:00Z,2024-03-21T00:00Z,true,true,true,190.32,194.0,193.46,195.0,179.57,Stock,0.004098360655737654
2019-04-11 00:00:00+00:00,AMH,23.23,23.32,23.05,23.3,779826,1.81699458E7,23.34,154,-0.012425021422450722,-0.18937446443873174,238,84,2019-04-11T00:00Z,2018-08-29T00:00Z,true,true,true,23.6,23.31,24.01,23.79,24.8,Stock,0.05084745762711851
2018-07-03 00:00:00+00:00,AMRC,12.35,12.45,12.3,12.4,15016,186198.4,12.65,299,-0.02766798418972327,-0.13043478260869568,44,0,2018-07-03T00:00Z,2018-05-01T00:00Z,true,true,true,13.0,13.15,12.85,13.25,14.45,Stock,-0.008692307692307666
2019-01-30 00:00:00+00:00,ARE,128.31,129.59,128.01,129.36,261013,3.376464168000001E7,130.53,299,-0.019305906688117713,-0.1646364820347812,188,0,2019-01-30T00:00Z,2018-05-01T00:00Z,true,true,true,131.71,129.01,134.51,135.89,143.23,Stock,-0.019999999999999907
2019-09-18 00:00:00+00:00,ARI,19.45,19.51,19.425,19.5,199895,3897952.5,19.57,261,-0.007409299948901382,-0.1614716402657128,348,87,2019-09-18T00:00Z,2018-09-04T00:00Z,true,true,true,19.55,19.68,18.81,18.94,17.9,Stock,-0.013483375959079336
2018-07-23 00:00:00+00:00,ASR,172.72,177.61,172.0,177.15,6782,1201431.3,179.99,299,-0.044391355075282024,-0.15311961775654204,57,0,2018-07-23T00:00Z,2018-05-01T00:00Z,true,true,true,182.03,182.24,185.13,175.77,205.63,Stock,-0.0033104433335163774
2018-08-03 00:00:00+00:00,ATH,48.48,49.31,48.07,49.23,423500,2.0848905E7,49.42,299,-0.02731687575880215,-0.12768110076891948,66,0,2018-08-03T00:00Z,2018-05-01T00:00Z,true,true,true,49.67,49.6,49.98,49.66,51.47,,0.036239178578618914
2024-07-16 00:00:00+00:00,ATO,121.36,122.47,120.79,122.34,326414,3.993348876E7,125.31,244,-0.03607054504828022,-0.19399888277072863,1561,1317,2024-07-16T00:00Z,2023-07-26T00:00Z,true,true,true,124.65,124.54,128.22,128.8,134.78,Stock,0.08126754913758516
2019-05-16 00:00:00+00:00,AXS,58.05,58.88,58.05,58.86,138222,8135746.92,58.93,299,-0.014932971321907407,-0.1807228915662651,262,0,2019-05-16T00:00Z,2018-05-01T00:00Z,true,true,true,58.61,60.02,59.58,60.59,60.64,Stock,0.034635727691520346
2024-03-19 00:00:00+00:00,AXS,63.35,63.9,63.12,63.36,234520,1.48591872E7,63.99,286,-0.013595874355368132,-0.19909360837630885,1480,1194,2024-03-19T00:00Z,2023-01-27T00:00Z,true,true,true,64.02,63.81,65.37,60.71,69.81,Stock,6.654170571698259E-4
